,Ville,Annee,A1,B1,C1,D1,A2,B2,C2,D2
0,NEUILLY-SUR-SEINE,2011.0,1743.0,1518.0,650.0,734.0,2047.0,1866.0,900.0,899.0
0,NEUILLY-SUR-SEINE,2012.0,1651.0,1483.0,935.0,902.0,2043.0,1886.0,898.0,896.0
0,NEUILLY-SUR-SEINE,2013.0,1662.0,1540.0,1054.0,927.0,2117.0,1954.0,1102.0,1115.0
0,NEUILLY-SUR-SEINE,2014.0,1556.0,1486.0,384.0,337.0,1804.0,1712.0,655.0,649.0
0,NEUILLY-SUR-SEINE,2015.0,1654.0,1455.0,369.0,533.0,1883.0,1717.0,895.0,970.0
0,PLESSIS-ROBINSON,2011.0,1901.0,1654.0,874.0,820.0,1431.0,1290.0,504.0,507.0
0,PLESSIS-ROBINSON,2012.0,1836.0,1654.0,1075.0,908.0,1437.0,1307.0,556.0,538.0
0,PLESSIS-ROBINSON,2013.0,1880.0,1712.0,518.0,707.0,1471.0,1350.0,516.0,548.0
0,PLESSIS-ROBINSON,2014.0,1931.0,1684.0,1068.0,1287.0,1469.0,1369.0,514.0,492.0
0,PLESSIS-ROBINSON,2015.0,2249.0,2007.0,1482.0,1094.0,1481.0,1358.0,492.0,460.0
0,PUTEAUX,2011.0,4948.0,4542.0,2530.0,2807.0,1431.0,1290.0,504.0,507.0
0,PUTEAUX,2012.0,3864.0,3538.0,1517.0,1432.0,1437.0,1307.0,556.0,538.0
0,PUTEAUX,2013.0,4218.0,3881.0,1625.0,1972.0,1471.0,1350.0,516.0,548.0
0,PUTEAUX,2014.0,3998.0,3845.0,1437.0,870.0,1469.0,1369.0,514.0,492.0
0,PUTEAUX,2015.0,3804.0,3283.0,1292.0,904.0,1481.0,1358.0,492.0,460.0
0,RUEIL-MALMAISON,2011.0,1720.0,1658.0,457.0,442.0,1467.0,1344.0,576.0,584.0
0,RUEIL-MALMAISON,2012.0,2228.0,2167.0,829.0,707.0,1491.0,1370.0,618.0,584.0
0,RUEIL-MALMAISON,2013.0,1793.0,1727.0,658.0,628.0,1510.0,1400.0,575.0,603.0
0,RUEIL-MALMAISON,2014.0,1684.0,1657.0,396.0,416.0,1554.0,1461.0,564.0,543.0
0,RUEIL-MALMAISON,2015.0,1950.0,1918.0,455.0,328.0,1580.0,1470.0,535.0,515.0
0,SAINT-CLOUD,2011.0,1393.0,1314.0,284.0,303.0,1431.0,1290.0,504.0,507.0
0,SAINT-CLOUD,2012.0,1440.0,1356.0,346.0,310.0,1437.0,1307.0,556.0,538.0
0,SAINT-CLOUD,2013.0,1459.0,1362.0,319.0,304.0,1471.0,1350.0,516.0,548.0
0,SAINT-CLOUD,2014.0,1451.0,1409.0,348.0,296.0,1469.0,1369.0,514.0,492.0
0,SAINT-CLOUD,2015.0,1443.0,1365.0,350.0,378.0,1481.0,1358.0,492.0,460.0
0,SCEAUX,2011.0,1560.0,1436.0,269.0,376.0,1313.0,1160.0,473.0,477.0
0,SCEAUX,2012.0,1574.0,1516.0,595.0,487.0,1323.0,1179.0,495.0,483.0
0,SCEAUX,2013.0,1560.0,1498.0,715.0,619.0,1337.0,1204.0,497.0,518.0
0,SCEAUX,2014.0,1562.0,1510.0,334.0,527.0,1469.0,1369.0,514.0,492.0
0,SCEAUX,2015.0,1709.0,1609.0,960.0,978.0,1481.0,1358.0,492.0,460.0
0,SEVRES,2011.0,1407.0,1268.0,457.0,335.0,1431.0,1290.0,504.0,507.0
0,SEVRES,2012.0,1391.0,1246.0,225.0,255.0,1437.0,1307.0,556.0,538.0
0,SEVRES,2013.0,1390.0,1242.0,216.0,255.0,1471.0,1350.0,516.0,548.0
0,SEVRES,2014.0,1367.0,1223.0,297.0,263.0,1469.0,1369.0,514.0,492.0
0,SEVRES,2015.0,1323.0,1205.0,271.0,305.0,1481.0,1358.0,492.0,460.0
0,SURESNES,2011.0,1914.0,1741.0,828.0,759.0,1431.0,1290.0,504.0,507.0
0,SURESNES,2012.0,1925.0,1710.0,587.0,587.0,1437.0,1307.0,556.0,538.0
0,SURESNES,2013.0,1876.0,1706.0,506.0,515.0,1471.0,1350.0,516.0,548.0
0,SURESNES,2014.0,1947.0,1768.0,728.0,671.0,1469.0,1369.0,514.0,492.0
0,SURESNES,2015.0,2151.0,1918.0,604.0,586.0,1481.0,1358.0,492.0,460.0
0,VANVES,2011.0,1370.0,1189.0,546.0,623.0,1431.0,1290.0,504.0,507.0
