CODGEO,REG,DEP,ARR,CV,ZE2010,EPCI,LIBGEO,MENFIS10,PMENFIS10,MENIMP10,QUAR1UC10,QUAR2UC10,QUAR3UC10,DEC1UC10,DEC2UC10,DEC3UC10,DEC4UC10,DEC5UC10,DEC6UC10,DEC7UC10,DEC8UC10,DEC9UC10,RDUC10,PTSA10,PPEN10,PBEN10,PAUT10
01181,82,01,014,0141,8203,240100172,Groissiat,410,1187.5,,,21158,,,,,,21158,,,,,,,,,
01182,82,01,011,0118,8209,240100347,Groslee,148,354.5,,,18043,,,,,,18043,,,,,,,,,
01183,82,01,012,0132,8213,240100727,Guereins,491,1361.0,,,20628,,,,,,20628,,,,,,,,,
01184,82,01,012,0107,8202,240100693,Hautecourt-Romaneche,334,800.5,,,19338,,,,,,19338,,,,,,,,,
01185,82,01,011,0115,8203,240100578,Hauteville-Lompnes,1610,3120.5,55.3,13023,18728,25684,7763,11490,14307,16431,18728,21138,23943,27375,35041,4.5,59.4,30.2,5.0,5.4
01186,82,01,011,0128,8201,240100396,Hostiaz,,,,,,,,,,,,,,,,,,,,
01187,82,01,014,0106,8203,240100370,Hotonnes,134,311.0,,,16677,,,,,,16677,,,,,,,,,
01188,82,01,012,0132,8213,240100594,Illiat,215,615.0,,,18439,,,,,,18439,,,,,,,,,
01189,82,01,014,0103,8219,240100891,Injoux-Genissiat,406,1033.5,,,20832,,,,,,20832,,,,,,,,,
01190,82,01,011,0118,8209,240100412,Innimond,,,,,,,,,,,,,,,,,,,,
01191,82,01,014,0106,8203,240100867,Izenave,72,171.5,,,17483,,,,,,17483,,,,,,,,,
01192,82,01,014,0116,8203,240100701,Izernore,881,2329.0,62.8,13424,19118,24223,9300,12137,14873,17110,19118,21124,23219,25857,31291,3.4,71.6,16.8,3.6,8.1
01193,82,01,011,0104,8209,240100347,Izieu,89,205.5,,,20695,,,,,,20695,,,,,,,,,
01194,82,01,012,0134,8213,240100735,Jassans-Riottier,2375,5994.5,62.3,14078,19713,26339,8806,12624,15342,17662,19713,21937,24634,28298,35197,4.0,68.9,23.2,3.8,4.2
01195,82,01,012,0107,8202,240100628,Jasseron,557,1513.5,,,22067,,,,,,22067,,,,,,,,,
01196,82,01,012,0121,8202,240100156,Jayat,412,1049.5,,,18235,,,,,,18235,,,,,,,,,
01197,82,01,012,0125,8202,240100842,Journans,138,346.5,,,21431,,,,,,21431,,,,,,,,,
01198,82,01,012,0119,8201,240100883,Joyeux,81,227.0,,,21325,,,,,,21325,,,,,,,,,
01199,82,01,014,0124,8201,200029999,Jujurieux,863,2050.0,,,17854,,,,,,17854,,,,,,,,,
01200,82,01,014,0124,8203,200029999,Labalme,74,196.0,,,16598.5,,,,,,16598.5,,,,,,,,,
01202,82,01,011,0117,8201,240100883,Lagnieu,2918,6882.0,58.4,13227,18825,25378,8774,12098,14318,16766,18825,21202,23691,27173,34471,3.9,65.9,25.7,4.3,4.1
01203,82,01,012,0127,0053,240100826,Laiz,420,1134.5,,,20342,,,,,,20342,,,,,,,,,
01204,82,01,014,0122,8203,240100909,Lalleyriat,97,255.0,,,17980,,,,,,17980,,,,,,,,,
01205,82,01,013,0112,8219,240100891,Lancrans,428,1032.0,,,19698,,,,,,19698,,,,,,,,,
01206,82,01,014,0106,8203,240100867,Lantenay,106,281.0,,,21216,,,,,,21216,,,,,,,,,
01207,82,01,012,0135,8213,240100875,Lapeyrouse,101,296.0,,,21719,,,,,,21719,,,,,,,,,
01208,82,01,011,0104,8216,240100438,Lavours,66,150.0,,,20730,,,,,,20730,,,,,,,,,
01209,82,01,013,0112,8219,240100750,Leaz,235,608.0,,,21824,,,,,,21824,,,,,,,,,
01210,82,01,013,0114,8219,240100750,Lelex,96,215.0,,,17953,,,,,,17953,,,,,,,,,
01211,82,01,012,0139,8202,240100628,Lent,536,1348.5,,,20286,,,,,,20286,,,,,,,,,
01212,82,01,012,0129,8202,240100339,Lescheroux,274,685.0,,,16869,,,,,,16869,,,,,,,,,
