,exe_spe,departement,dep_mon,densite
489,6,18,1429,8.1
490,6,19,280,9.2
491,6,2,974,9.3
492,6,20,822,12.45
493,6,21,1058,17.8
494,6,22,438,8.1
495,6,23,210,6.7
496,6,24,685,8.2
497,6,25,503,15.4
498,6,26,1072,11.6
499,6,27,1703,6.0
500,6,28,1922,9.6
501,6,29,578,11.6
502,6,3,456,12.5
503,6,30,767,13.9
504,6,31,1093,18.0
505,6,32,596,7.3
506,6,33,3805,20.1
507,6,34,977,20.5
508,6,35,884,14.7
509,6,36,589,7.1
510,6,37,2318,18.0
511,6,38,3340,13.2
512,6,39,1264,7.3
513,6,4,335,9.2
514,6,40,888,10.6
515,6,41,769,10.5
516,6,42,1242,13.3
517,6,43,571,7.1000000000000005
518,6,44,2209,12.9
519,6,45,2206,13.7
520,6,46,213,9.8
521,6,47,568,9.3
522,6,48,179,6.6
523,6,49,1137,10.0
524,6,5,348,16.3
525,6,50,629,10.0
526,6,51,1399,13.9
527,6,52,894,10.6
528,6,53,427,7.399999999999999
529,6,54,953,19.2
530,6,55,633,8.9
531,6,56,952,11.8
532,6,57,1667,11.3
533,6,58,454,12.2
534,6,59,4538,17.7
535,6,6,2886,22.2
536,6,60,2795,9.5
537,6,61,409,9.8
538,6,62,1428,10.6
539,6,63,957,16.1
540,6,64,2452,17.2
541,6,65,391,12.3
542,6,66,577,14.9
543,6,67,1228,19.1
544,6,68,2101,13.6
545,6,69,6944,19.9
546,6,7,651,9.6
547,6,70,279,7.1
548,6,71,1586,8.700000000000001
549,6,72,647,8.7
550,6,73,1438,14.9
551,6,74,4827,13.8
552,6,75,14547,38.7
553,6,76,1483,13.8
554,6,77,6630,10.6
555,6,78,8377,10.8
556,6,79,1466,10.0
557,6,8,497,8.899999999999997
558,6,80,1118,11.7
559,6,81,288,11.4
560,6,82,218,10.2
561,6,83,2685,14.6
562,6,84,950,15.7
563,6,85,939,8.5
564,6,86,1373,12.2
565,6,87,323,12.8
566,6,88,541,8.3
567,6,89,1009,8.200000000000001
568,6,9,189,7.8
569,6,90,277,8.3
570,6,91,6497,9.9
571,6,92,10705,21.2
572,6,93,6837,11.4
573,6,94,7348,21.4
574,6,95,6201,11.3
575,6,97,7962,7.879999999999999
576,7,1,3586,7.4
577,7,10,1654,12.5
578,7,11,1240,9.6
579,7,12,1022,11.5
580,7,13,6978,16.400000000000002
581,7,14,2411,9.6
582,7,15,606,8.3
583,7,16,1656,18.6
584,7,17,2014,12.0
585,7,18,1801,8.4
586,7,19,1361,9.6
587,7,2,1943,8.600000000000001
588,7,20,3553,9.2
589,7,21,2490,11.7
590,7,22,1343,12.1
591,7,23,778,7.3
592,7,24,1811,7.800000000000002
593,7,25,2117,7.5
594,7,26,2713,10.0
595,7,27,2348,7.1
596,7,28,2453,9.0
597,7,29,2425,9.9
598,7,3,1567,9.2
599,7,30,2912,9.0
600,7,31,4534,18.4
601,7,32,1198,12.9
602,7,33,4642,21.6
603,7,34,4397,13.1
604,7,35,2912,10.2
605,7,36,1191,6.3
606,7,37,1960,11.1
607,7,38,4990,16.7
608,7,39,1174,4.0
609,7,4,1407,8.299999999999999
610,7,40,1431,10.7
611,7,41,1436,11.1
612,7,42,2566,7.4
613,7,43,1225,4.9
614,7,44,3106,11.4
615,7,45,3200,11.5
616,7,46,719,7.5
617,7,47,1735,13.6
618,7,48,764,8.8
619,7,49,2290,8.5
620,7,5,703,6.4
621,7,50,1431,12.5
622,7,51,2196,6.699999999999998
623,7,52,825,11.7
624,7,53,1217,9.5
625,7,54,2503,19.7
626,7,55,995,5.5
627,7,56,1984,10.4
628,7,57,3407,12.2
629,7,58,1116,10.8
630,7,59,12025,15.4
631,7,6,5029,14.2
632,7,60,3211,11.0
633,7,61,1140,9.0
634,7,62,4744,8.9
635,7,63,2706,13.0
636,7,64,3148,15.4
637,7,65,1194,10.3
638,7,66,2209,10.0
639,7,67,4890,10.7
640,7,68,4985,7.699999999999998
641,7,69,6819,18.1
642,7,7,1470,7.6
643,7,70,1189,9.5
644,7,71,2142,8.3
645,7,72,2183,4.5
646,7,73,2165,9.9
647,7,74,4155,10.5
648,7,75,11765,46.6
649,7,76,4138,11.7
650,7,77,5785,13.7
651,7,78,6710,19.1
652,7,79,1217,5.6
653,7,8,935,9.7
654,7,80,1922,11.8
655,7,81,1521,10.4
656,7,82,1675,5.5
657,7,83,5044,10.4
658,7,84,3135,13.3
659,7,85,1723,7.2
660,7,86,1995,6.4
661,7,87,1587,13.5
662,7,88,2148,8.8
663,7,89,2175,8.4
664,7,9,988,16.7
665,7,90,1460,11.7
666,7,91,5948,16.9
667,7,92,8168,24.5
668,7,93,6879,15.1
669,7,94,6485,21.1
670,7,95,6730,15.2
671,7,97,12592,6.74
672,8,1,1140,0.0
673,8,10,931,0.3
674,8,11,1013,0.0
675,8,12,239,0.0
676,8,13,1760,0.7
677,8,14,631,0.1
678,8,15,200,0.0
679,8,16,403,0.0
680,8,17,1379,0.2
681,8,18,530,0.0
682,8,19,619,0.0
683,8,2,833,0.0
684,8,20,1067,0.0
685,8,21,803,0.9
686,8,22,502,0.0
687,8,23,103,0.0
688,8,24,604,0.0
689,8,25,848,0.6
690,8,26,1030,0.2
691,8,27,1016,0.0
692,8,28,958,0.0
693,8,29,337,0.1
694,8,3,551,0.0
695,8,30,1228,0.1
696,8,31,1389,0.5
697,8,32,497,0.0
698,8,33,2175,0.6
699,8,34,1745,0.7
700,8,35,328,0.6
701,8,36,336,0.0
702,8,37,585,1.2
703,8,38,2163,0.5
704,8,39,515,0.0
705,8,4,280,0.0
706,8,40,625,0.0
707,8,41,324,0.3
708,8,42,819,0.5
709,8,43,233,0.0
710,8,44,1030,0.7
711,8,45,782,0.1
712,8,46,316,0.0
713,8,47,738,0.0
714,8,48,96,0.0
715,8,49,855,0.2
716,8,5,274,0.0
717,8,50,232,0.0
718,8,51,1237,0.5
719,8,52,260,0.0
720,8,53,130,0.0
721,8,54,883,0.5
722,8,55,214,0.0
723,8,56,262,0.1
724,8,57,811,0.1
725,8,58,296,0.0
726,8,59,3997,0.4
727,8,6,1894,0.5
728,8,60,995,0.0
729,8,61,240,0.0
730,8,62,1421,0.1
731,8,63,1183,0.5
732,8,64,1249,0.0
733,8,65,177,0.0
734,8,66,635,0.0
735,8,67,1976,0.9
736,8,68,1458,0.4
737,8,69,2507,0.9
738,8,7,666,0.0
739,8,70,303,0.0
740,8,71,691,0.0
741,8,72,348,0.2
742,8,73,804,0.5
743,8,74,1487,0.0
744,8,75,4648,2.4
745,8,76,831,0.5
746,8,77,1989,0.0
747,8,78,2510,0.5
748,8,79,213,0.0
749,8,8,607,0.0
750,8,80,793,0.7
751,8,81,326,0.0
752,8,82,614,0.0
753,8,83,1825,0.1
754,8,84,1010,0.0
755,8,85,504,0.0
756,8,86,602,0.9
757,8,87,180,0.8
758,8,88,480,0.0
759,8,89,775,0.0
760,8,9,303,0.0
761,8,90,217,0.0
762,8,91,1953,0.1
763,8,92,3135,0.2
764,8,93,1909,0.1
765,8,94,2341,0.4
766,8,95,1904,0.1
767,8,97,2613,0.24000000000000005
768,11,1,2084,2.4
769,11,10,1339,2.6
770,11,11,1023,2.4
771,11,12,582,2.5
772,11,13,4610,6.3
773,11,14,1640,5.6
774,11,15,313,2.7
775,11,16,1236,3.1
776,11,17,1806,3.8
777,11,18,1458,4.5
778,11,19,702,3.8
779,11,2,1355,3.2
780,11,20,1703,4.3
781,11,21,1539,4.7
782,11,22,922,2.8
783,11,23,237,2.5
784,11,24,1861,3.1
785,11,25,1931,5.4
786,11,26,1870,4.2
