,User,Contribs,Location,Average note
126,ashleygwilliams (ashley williams),2468,"ridgewood, queens, NYC",3.566666666666667
82,JaviSoto (Javier Soto),3237,San Francisco,3.1333333333333333
174,thejameskyle (James Kyle),1961,"San Francisco, CA",3.0
232,mariotaku (Mariotaku),1527,"Zhengzhou, Henan, China",2.9
102,sahat (Sahat Yalkabov),2830,,2.7666666666666666
225,mjhea0 (Michael Herman),1554,Boulder,2.6333333333333333
71,vladikoff (Vlad Filippov),3518,North America,2.6
14,afc163 (偏右),6945,"Hangzhou, China",2.566666666666667
130,brentvatne (Brent Vatne),2414,"Vancouver, Canada",2.033333333333333
106,jeremy (Jeremy Daer),2786,"Scottsdale, AZ",1.9666666666666666
172,kittens (Sebastian McKenzie),1962,London,1.9333333333333333
20,mikermcneil (Mike McNeil),6375,"Austin, TX",1.8
142,jamesward (James Ward),2313,"Crested Butte, CO, USA",1.8
147,curran (Curran Kelleher),2279,Boston | Bangalore,1.6
247,mli (Mu Li),1435,,1.5789473684210527
249,zpao (Paul O’Shannessy),1429,"Seattle, WA",1.5
165,appleboy (Bo-Yi Wu),2035,Taiwan,1.1333333333333333
23,gdi2290 (PatrickJS),6265,"San Francisco, CA",1.1
54,dsyer (Dave Syer),4074,London,1.0666666666666667
215,stof (Christophe Coevoet),1621,Paris,1.0
152,rwaldron (Rick Waldron),2230,"Brooklyn, NY",1.0
66,stefanpenner (Stefan Penner),3655,"San Jose, CA",0.9666666666666667
72,rafaelfranca (Rafael França),3508,"São Paulo, Brazil",0.8333333333333334
132,weaverryan (Ryan Weaver),2402,"Nashville, TN",0.6666666666666666
148,amasad (Amjad Masad),2279,"Bay Area, CA",0.5666666666666667
205,jiyinyiyong (题叶),1685,"Shanghai, China",0.5666666666666667
202,samccone (Sam Saccone),1705,∆∆∆,0.5
166,vhf (victor felder),2014,Switzerland,0.26666666666666666
112,jfrazelle (Jess Frazelle),2626,PID 1,0.0
