product_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Taboulé à l'orientale (même code barre que 26022291),Oeufs,Lait,Poissons,Céleri,Moutarde,Soja,Crustacés,Fruits à coques,Sésame,,,,,
Poule aux vermicelles,Lait,,,,,,,,,,,,,
Pot au Feu aux Vermicelles,Lait,Œuf,,,,,,,,,,,,
Soupe à l'Oignon,Lait,Œuf,Céleri,Blé,Soja,Gluten,,,,,,,,
Untable &quot;Italia&quot; Bruschetta con tomates,Dióxido de azufre,,,,,,,,,,,,,
Untable &quot;Italia&quot; Bruschetta con olivas,Dióxido de azufre,,,,,,,,,,,,,
Haust,Fabriqué dans un atelier contenant du seigle,(gluten),lait et sésame,,,,,,,,,,,
Everyday,teneur en sel exclusivement due à la présence naturelle de sodium,,,,,,,,,,,,,
Alvalle,logo gluten barré / peu explicite,,,,,,,,,,,,,
Scrocchi au sésame,Gluten,Sésame,Noix,Oeufs,,,,,,,,,,
Chopped Diced Tomatoes Carla,made in factory,,,,,,,,,,,,,
Italian Whole Peeled Tomatoes Carla,made in factory with only natural tomatoes,,,,,,,,,,,,,
Salade à tartiner Surimi - 200 g (même code barre 26017518 sur Salade Thon et Salade Saumon fumé),lupin,lait,mollusques,,,,,,,,,,,
Salade à tartiner Thon - 200 g (même code barre 26017518 sur Salade surimi et Salade Saumon fumé),mollusques,gluten,céleri,soja,crustacés,lupin,lait,,,,,,,
Colin d'Alaska à la Provençale surgelé - 450 g - Golden Seafood (même code barre 26053325 que colin d'Alaska  à la parisienne),crustacés,mollusques,oeuf,lait,céleri,soja,moutarde,gluten,arête,,,,,
"Filet de colin d'Alaska à la moutarde, surgelé",Lupin,Arachides,Fruits à coque,Mollusques,Oeufs,Sésame,Soja,arête,,,,,,
Palets bretons Carrefour,graines de sésame,fruits à coque,,,,,,,,,,,,
Barritas de anacardos &quot;Remiga&quot;,Sésamo, Cacahuetes, Otros frutos de cáscara,,,,,,,,,,,
Edelbitterschokolade &quot;Freihofer Gourmet&quot; Sao Thomé 75% Kakao,Haselnüsse,Andere Schalenfrüchte,Gluten,Ei,Milchbestandteile,,,,,,,,,
Sainsbury's Grated Parmesan,Produced using Italian milk,,,,,,,,,,,,,
Mon bio à boire à la paille Fraise-Mûre,Lait,,,,,,,,,,,,,
Pavé sélection,oeuf,arachide,soja,lait,fruits à coque,sésame,,,,,,,,
Pyramide choco coeur croustillant,arachides,fruits à coques,sulfites,,,,,,,,,,,
Baguette L'excellente,Fruits à coques,graines de sésame,œuf,lait,,,,,,,,,,
Pavé rustique,lait,fruits à coque,sésame,soja,,,,,,,,,,
Tableta de chocolate negro &quot;J.D. Gross&quot; Amazonas 60% cacao,Avellanas,Almendras,Leche,,,,,,,,,,,
Almond,fruits à coque,,,,,,,,,,,,,
