id,sku,old_price,price,brand,title
169,HEX4896200489709,11.96,11.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
170,HEX4896200488948,19.96,19.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
171,HEX4896200488962,19.96,19.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
172,HEX4896200489631,19.96,19.96,dell,CLAVIER ORIGINAL AZERTY NOIR POUR PC PORTABLE DELL
173,DEL0642968354896,149.0,149.0,dell,PC PORTABLE NETBOOK DELL 2110 10 POUCE
174,AUC5054292495933,22.99,22.99,dell,Dell Latitude E7240 Ventilateur pour ordinateurs p
175,AUC6905387992525,2.69,2.69,dell,Disque Dur Caddy Couverture HARD DRIVE Pr Dell Lat
176,AUC5054925168845,6.99,6.99,dell,Dell Inspiron N5030 connecteur alimentation pc por
177,AUC5054292975152,10.99,10.99,dell,Dell Latitude D530 Ventilateur pour ordinateurs po
178,AUC5054292975145,10.99,10.99,dell,Dell Latitude D520 Ventilateur pour ordinateurs po
179,AUC5054925166094,11.99,11.99,dell,Dell Inspiron 15 5547 Ventilateur pour ordinateurs
180,AUC5054925260679,12.99,12.99,dell,Dell Inspiron 5520 Ventilateur pour ordinateurs po
181,AUC5054925205021,12.99,12.99,dell,Dell Inspiron 5547 Ventilateur pour ordinateurs po
182,AUC5054925307893,14.99,14.99,dell,Dell XPS 14z Ventilateur pour ordinateurs portable
183,AUC5054925260662,16.99,16.99,dell,Dell Inspiron 5720 Ventilateur pour ordinateurs po
184,AUC5054925260655,16.99,16.99,dell,Dell Inspiron 7720 Ventilateur pour ordinateurs po
185,DEL5704327765103,18.27,18.27,dell,DELL DF770 ALIMENTATION POUR ORDINATEUR PORTABL...
186,AUC5054925054872,18.99,18.99,dell,Dell Latitude D620 Ventilateur pour ordinateurs po
187,AUC5054292372449,20.99,20.99,dell,Dell Precision M4600 Ventilateur pour ordinateurs
188,AUC5054292495919,21.99,21.99,dell,Dell Latitude E7440 Ventilateur pour ordinateurs p
189,AUC5054292495902,21.99,21.99,dell,Dell 006PX9 Ventilateur pour ordinateurs portables
190,AUC5053951894483,23.99,23.99,dell,Dell 0WM598 Ventilateur pour ordinateurs portables
191,AUC5053951895244,23.99,23.99,dell,Dell 01DMD6 Ventilateur pour ordinateurs portables
192,AUC5054292381175,22.99,22.99,dell,Dell Studio 1457 Ventilateur pour ordinateurs port
193,AUC5054292896921,22.99,22.99,dell,Dell Inspiron 11 3135 Ventilateur pour ordinateurs
194,AUC5054292495926,22.99,22.99,dell,Dell 0GVH35 Ventilateur pour ordinateurs portables
195,AUC5054292944196,22.99,22.99,dell,Dell Chromebook 11 Ventilateur pour ordinateurs po
196,AUC5054292944219,22.99,22.99,dell,Dell Inspiron 7737 Ventilateur pour ordinateurs po
197,AUC5054292495957,22.99,22.99,dell,Dell Ultrabook XPS 12 Ventilateur pour ordinateurs
198,AUC5054292896938,22.99,22.99,dell,Dell Inspiron 11 3137 Ventilateur pour ordinateurs
199,AUC5054292370018,23.99,23.99,dell,Dell Vostro V3400 Ventilateur pour ordinateurs por
200,AUC0756519161861,35.03,23.35,dell,Originale Cpu Refroidisseur Pour Dell Vostro 3460
201,AUC5054292381212,22.99,22.99,dell,Dell Studio 1458 Ventilateur pour ordinateurs port
202,AUC5054292371831,22.99,22.99,dell,Dell Latitude E6330 Ventilateur pour ordinateurs p
203,AUC5054292944202,22.99,22.99,dell,Dell Inspiron 17-7737 Ventilateur pour ordinateurs
204,AUC5054292495926,22.99,22.99,dell,Dell 0GVH35 Ventilateur pour ordinateurs portables
205,AUC5054292944196,22.99,22.99,dell,Dell Chromebook 11 Ventilateur pour ordinateurs po
206,AUC5054292944219,22.99,22.99,dell,Dell Inspiron 7737 Ventilateur pour ordinateurs po
207,AUC5054292896921,22.99,22.99,dell,Dell Inspiron 11 3135 Ventilateur pour ordinateurs
208,AUC5054292381175,22.99,22.99,dell,Dell Studio 1457 Ventilateur pour ordinateurs port
209,AUC5053951894483,23.99,23.99,dell,Dell 0WM598 Ventilateur pour ordinateurs portables
210,AUC5053951895244,23.99,23.99,dell,Dell 01DMD6 Ventilateur pour ordinateurs portables
211,AUC5052836121690,24.99,24.99,dell,Dell XPS 15 Ventilateur pour ordinateurs portables
212,AUC5053178348585,24.99,24.99,dell,Dell Inspiron N5010 Ventilateur pour ordinateurs p
213,AUC5053178604445,24.99,24.99,dell,Dell Inspiron N7110 Ventilateur pour ordinateurs p
214,AUC5054292892770,24.99,24.99,dell,Dell Latitude E6540 Ventilateur pour ordinateurs p
215,AUC5053178348561,24.99,24.99,dell,Dell Inspiron 15R Ventilateur pour ordinateurs por
216,AUC5053178348578,24.99,24.99,dell,Dell 23.10379.001 Ventilateur pour ordinateurs por
217,AUC5053178146655,25.99,25.99,dell,Dell Studio 1747 Ventilateur pour ordinateurs port
218,AUC5053178146662,25.99,25.99,dell,Dell Studio 1745 Ventilateur pour ordinateurs port
219,AUC5053178146679,25.99,25.99,dell,Dell Studio 1749 Ventilateur pour ordinateurs port
220,AUC5053178276291,25.99,25.99,dell,Dell Inspiron Mini 12 Ventilateur pour ordinateurs
221,AUC5054292692493,25.99,25.99,dell,Dell Inspiron 1564 Ventilateur pour ordinateurs po
222,AUC5054292692455,25.99,25.99,dell,Dell Inspiron 1564-2101 Ventilateur pour ordinateu
223,AUC5054292692509,25.99,25.99,dell,Dell Inspiron 1764 Ventilateur pour ordinateurs po
224,AUC5054292692479,25.99,25.99,dell,Dell Inspiron 1564-7282 Ventilateur pour ordinateu
225,AUC5053178276260,25.99,25.99,dell,Dell Mini 1210n Ventilateur pour ordinateurs porta
226,AUC5052836121393,25.99,25.99,dell,Dell M703H Ventilateur pour ordinateurs portables
227,AUC5053178276246,25.99,25.99,dell,Dell Mini 12 Ventilateur pour ordinateurs portable
228,AUC5053178276253,25.99,25.99,dell,Dell Mini 1210 Ventilateur pour ordinateurs portab
229,AUC5054292692479,25.99,25.99,dell,Dell Inspiron 1564-7282 Ventilateur pour ordinateu
230,AUC5054292692509,25.99,25.99,dell,Dell Inspiron 1764 Ventilateur pour ordinateurs po
231,AUC5054292692455,25.99,25.99,dell,Dell Inspiron 1564-2101 Ventilateur pour ordinateu
232,AUC5054925055206,28.99,28.99,dell,Dell Vostro 5470 Ventilateur pour ordinateurs port
233,AUC5054925055190,28.99,28.99,dell,Dell Vostro 5460 Ventilateur pour ordinateurs port
234,AUC5053178188273,27.99,27.99,dell,Dell Inspiron N5030 Ventilateur pour ordinateurs p
235,AUC5053178314863,28.99,28.99,dell,Dell Vostro 1710n Ventilateur pour ordinateurs por
236,AUC5054925054698,28.99,28.99,dell,Dell Inspiron 14 5439 Ventilateur pour ordinateurs
237,AUC5053178294639,27.99,27.99,dell,Alienware M15X (DELL) Ventilateur pour ordinateurs
238,AUC5053178314856,28.99,28.99,dell,Dell Vostro 1720 Ventilateur pour ordinateurs port
239,AUC5053178314849,28.99,28.99,dell,Dell Vostro 1720n Ventilateur pour ordinateurs por
240,AUC5053178184039,27.99,27.99,dell,Dell H519S Ventilateur pour ordinateurs portables
241,AUC5053178184046,27.99,27.99,dell,Dell Latitude D610 Ventilateur pour ordinateurs po
242,AUC5053178314832,28.99,28.99,dell,Dell Vostro 1710 Ventilateur pour ordinateurs port
243,AUC5053178146631,30.99,30.99,dell,Dell Vostro 1200 Ventilateur pour ordinateurs port
244,AUC5054292371770,31.99,31.99,dell,Dell Inspiron N3010 Ventilateur pour ordinateurs p
245,DEL5711045182259,55.66,55.66,dell,DELL MK947 ALIMENTATION POUR ORDINATEUR PORTABL...
246,DEL5704327958703,58.21,58.21,dell,DELL PA-21 ALIMENTATION POUR ORDINATEUR PORTABL...
247,DEL5711045587337,65.72,65.72,dell,DELL TK3DM ALIMENTATION POUR ORDINATEUR PORTABL…
248,DEL5704327780663,69.65,69.65,dell,DELL X7329 ALIMENTATION POUR ORDINATEUR PORTABL...
249,DEL5711045393303,71.62,71.62,dell,DELL MRNFT ALIMENTATION POUR ORDINATEUR PORTABL...
250,DEL5711045338137,110.54,110.54,dell,DELL HK3RG BATTERIE POUR ORDINATEUR PORTABLE NOIR
251,DEL5711045921339,105.69,105.69,dell,DELL WW4XY ALIMENTATION POUR ORDINATEUR PORTABL...
252,DEL5704327947752,133.28,133.28,dell,DELL PA-7E ALIMENTATION POUR ORDINATEUR PORTABL…
253,DEL5704327919971,138.06,138.06,dell,DELL JY200 BATTERIE POUR ORDINATEUR PORTABLE NOIR
254,DEL5711045610196,169.52,169.52,dell,DELL HPNYM BATTERIE POUR ORDINATEUR PORTABLE NOIR
255,DEL3700857029724,399.0,299.0,dell,"PC Portable 13.3"" DELL E4300 laptop Intel P9400 2."
256,LEN6954881195222,15.96,15.96,dell,Ordinateur portable Dell KP423 PC765 PC764 Latitud
257,AUC5052177059751,17.99,17.99,dell,Dell Inspiron 3000 Chargeur batterie pour ordinate
258,AUC5052177059676,17.99,17.99,dell,Dell 310-5422 Chargeur batterie pour ordinateur po
259,AUC5052177059683,17.99,17.99,dell,Dell N5825 Chargeur batterie pour ordinateur porta
260,AUC5052177059744,17.99,17.99,dell,Dell Inspiron 2200 Chargeur batterie pour ordinate
261,AUC5052177059713,17.99,17.99,dell,Dell TD230 Chargeur batterie pour ordinateur porta
262,AUC5052177059690,17.99,17.99,dell,Dell PA-16 Chargeur batterie pour ordinateur porta
263,AUC5052177059720,17.99,17.99,dell,Dell Inspiron 1000 Chargeur batterie pour ordinate
264,AUC5052177059768,17.99,17.99,dell,Dell Inspiron 3200 Chargeur batterie pour ordinate
265,AUC5052177059782,17.99,17.99,dell,Dell Inspiron 7000 Chargeur batterie pour ordinate
266,AUC5052177059775,17.99,17.99,dell,Dell Inspiron 3500 Chargeur batterie pour ordinate
267,AUC2009991421205,23.9,23.9,dell,Chargeur ordinateur dell precision workstation sér
268,AUC5054292839959,27.99,27.99,dell,Dell XPS 18 Chargeur batterie pour ordinateur port
269,AUC5052177070930,27.99,27.99,dell,Dell 8383 Chargeur batterie pour ordinateur portab
